,Ar,TegundNr,EldsnTegHeiti,Notkun,Frumorka,Losun (kg)
2,1982,1,Bensín,37616.0,1685196.8,86892.96
23,1982,1,Bensín,26328.0,1179494.4,60817.68
38,1982,1,Bensín,31909.0,1429523.2,73709.79000000001
59,1983,1,Bensín,36206.0,1622028.8,83635.86
81,1983,1,Bensín,26091.0,1168876.8,60270.21
97,1983,1,Bensín,30716.0,1376076.8,70953.96
120,1984,1,Bensín,36332.0,1627673.6,83926.92
146,1984,1,Bensín,27394.0,1227251.2,63280.14
163,1984,1,Bensín,31471.0,1409900.8,72698.01
185,1985,1,Bensín,37955.0,1700384.0,87676.05
211,1985,1,Bensín,28500.0,1276800.0,65835.0
227,1985,1,Bensín,32284.0,1446323.2,74576.04000000001
250,1986,1,Bensín,16878.0,756134.4,38988.18
251,1986,1,Bensín,23805.0,1066464.0,54989.55
276,1986,1,Bensín,30222.0,1353945.6,69812.82
293,1986,1,Bensín,34077.0,1526649.6,78717.87
316,1987,1,Bensín,39574.0,1772915.2,91415.94
317,1987,1,Bensín,7859.0,352083.2,18154.29
343,1987,1,Bensín,31644.0,1417651.2,73097.64
364,1987,1,Bensín,30770.0,1378496.0,71078.7
365,1987,1,Bensín,7675.0,343840.0,17729.25
389,1988,1,Bensín,27084.0,1213363.2,62564.04
390,1988,1,Bensín,24062.0,1077977.6,55583.22
414,1988,1,Bensín,17442.0,781401.6,40291.020000000004
415,1988,1,Bensín,15975.0,715680.0,36902.25
436,1988,1,Bensín,22925.0,1027040.0,52956.75
437,1988,1,Bensín,18572.0,832025.6,42901.32
461,1989,1,Bensín,22590.0,1012032.0,52182.9
462,1989,1,Bensín,28049.0,1256595.2,64793.19
488,1989,1,Bensín,15937.0,713977.6,36814.47
489,1989,1,Bensín,18816.0,842956.8,43464.96
510,1989,1,Bensín,18846.0,844300.8,43534.26
511,1989,1,Bensín,21252.0,952089.6,49092.12
536,1990,1,Bensín,26546.0,1189260.8,61321.26
537,1990,1,Bensín,24596.0,1101900.8,56816.76
571,1990,1,Bensín,18515.0,829472.0,42769.65
572,1990,1,Bensín,16719.0,749011.2,38620.89
596,1990,1,Bensín,22072.0,988825.6,50986.32
597,1990,1,Bensín,19364.0,867507.2,44730.840000000004
622,1991,1,Bensín,35225.0,1578080.0,81369.75
623,1991,1,Bensín,17569.0,787091.2,40584.39
657,1991,1,Bensín,23309.0,1044243.2,53843.79
658,1991,1,Bensín,12179.0,545619.2,28133.49
682,1991,1,Bensín,30524.0,1367475.2,70510.44
683,1991,1,Bensín,13831.0,619628.8,31949.61
708,1992,1,Bensín,40474.0,1813235.2,93494.94
709,1992,1,Bensín,13315.0,596512.0,30757.65
742,1992,1,Bensín,28076.0,1257804.8,64855.560000000005
743,1992,1,Bensín,9578.0,429094.4,22125.18
769,1992,1,Bensín,34425.0,1542240.0,79521.75
770,1992,1,Bensín,10114.0,453107.2,23363.34
796,1993,1,Bensín,43410.0,1944768.0,100277.1
797,1993,1,Bensín,10119.0,453331.2,23374.89
832,1993,1,Bensín,30080.0,1347584.0,69484.8
833,1993,1,Bensín,7460.0,334208.0,17232.600000000002
859,1993,1,Bensín,35764.0,1602227.2,82614.84
860,1993,1,Bensín,7719.0,345811.2,17830.89
885,1994,1,Bensín,46057.0,2063353.6,106391.67
886,1994,1,Bensín,8485.0,380128.0,19600.350000000002
921,1994,1,Bensín,31522.0,1412185.6,72815.82
922,1994,1,Bensín,6287.0,281657.6,14522.970000000001
948,1994,1,Bensín,36959.0,1655763.2,85375.29000000001
949,1994,1,Bensín,6766.0,303116.8,15629.460000000001
972,1995,1,Bensín,48047.0,2152505.6,110988.57
973,1995,1,Bensín,7210.0,323008.0,16655.100000000002
1009,1995,1,Bensín,31966.0,1432076.8,73841.46
1010,1995,1,Bensín,5159.0,231123.2,11917.29
1034,1995,1,Bensín,37590.0,1684032.0,86832.90000000001
1035,1995,1,Bensín,5629.0,252179.2,13002.99
1057,1996,1,Bensín,53747.0,2407865.6,124155.57
1058,1996,1,Bensín,1242.0,55641.6,2869.02
1097,1996,1,Bensín,35566.0,1593356.8,82157.46
1098,1996,1,Bensín,1272.0,56985.6,2938.32
1132,1996,1,Bensín,44072.0,1974425.6,101806.32
1133,1996,1,Bensín,1928.0,86374.4,4453.68
1155,1997,1,Bensín,53689.0,2405267.2,124021.59
1191,1997,1,Bensín,37660.0,1687168.0,86994.6
1222,1997,1,Bensín,46706.0,2092428.8,107890.86
1223,1997,1,Bensín,0.0,0.0,0.0
1242,1998,1,Bensín,55009.0,2464403.2,127070.79000000001
1278,1998,1,Bensín,39204.0,1756339.2,90561.24
1311,1998,1,Bensín,47799.0,2141395.2,110415.69
1312,1998,1,Bensín,0.0,0.0,0.0
1331,1999,1,Bensín,55899.0,2504275.2,129126.69
1365,1999,1,Bensín,40107.0,1796793.6,92647.17
1399,1999,1,Bensín,48703.0,2181894.4,112503.93000000001
1400,1999,1,Bensín,0.0,0.0,0.0
1420,2000,1,Bensín,53862.0,2413017.6,124421.22
1460,2000,1,Bensín,40623.0,1819910.4,93839.13
1461,2000,1,Bensín,0.0,0.0,0.0
1497,2000,1,Bensín,48114.0,2155507.2,111143.34
1498,2000,1,Bensín,0.0,0.0,0.0
1520,2001,1,Bensín,54325.0,2433760.0,125490.75
1561,2001,1,Bensín,40448.0,1812070.4,93434.88
1562,2001,1,Bensín,0.0,0.0,0.0
1599,2001,1,Bensín,48832.0,2187673.6,112801.92
1600,2001,1,Bensín,0.0,0.0,0.0
1622,2002,1,Bensín,54498.0,2441510.4,125890.38
1660,2002,1,Bensín,42577.0,1907449.6,98352.87
1661,2002,1,Bensín,0.0,0.0,0.0
1697,2002,1,Bensín,47898.0,2145830.4,110644.38
1698,2002,1,Bensín,0.0,0.0,0.0
1719,2003,1,Bensín,55403.0,2482054.4,127980.93000000001
1791,2003,1,Bensín,42512.0,1904537.6,98202.72
1831,2003,1,Bensín,48773.0,2185030.4,112665.63
1851,2004,1,Bensín,4320.0,193536.0,9979.2
1859,2004,1,Bensín,56267.0,2520761.6,129976.77
1931,2004,1,Bensín,40812.0,1828377.6,94275.72
1970,2004,1,Bensín,50051.0,2242284.8,115617.81
1989,2005,1,Bensín,7958.0,356518.4,18382.98
1997,2005,1,Bensín,58847.0,2636345.6,135936.57
2070,2005,1,Bensín,43320.0,1940736.0,100069.2
2105,2005,1,Bensín,46605.0,2087904.0,107657.55
2128,2006,1,Bensín,16039.0,718547.2,37050.090000000004
2136,2006,1,Bensín,56365.0,2525152.0,130203.15000000001
2207,2006,1,Bensín,43658.0,1955878.4,100849.98
2242,2006,1,Bensín,45166.0,2023436.8,104333.46
2265,2007,1,Bensín,20096.0,900300.8,46421.76
2273,2007,1,Bensín,54908.0,2459878.4,126837.48
2315,2007,1,Bensín,42722.0,1913945.6,98687.82
2379,2007,1,Bensín,42196.0,1890380.8,97472.76000000001
2401,2008,1,Bensín,23870.0,1069376.0,55139.700000000004
2432,2008,1,Bensín,50462.0,2260697.6,116567.22
2513,2008,1,Bensín,42048.0,1883750.4,97130.88
2578,2008,1,Bensín,38735.0,1735328.0,89477.85
2639,2009,1,Bensín,24030.0,1076544.0,55509.3
2651,2009,1,Bensín,49748.0,2228710.4,114917.88
2728,2009,1,Bensín,42283.0,1894278.4,97673.73
2789,2009,1,Bensín,38871.0,1741420.8,89792.01000000001
2849,2010,1,Bensín,23963.0,1073542.4,55354.53
2881,2010,1,Bensín,46808.0,2096998.4,108126.48
2959,2010,1,Bensín,38117.0,1707641.6,88050.27
3026,2010,1,Bensín,39326.0,1761804.8,90843.06
3084,2011,1,Bensín,22139.0,991827.2,51141.090000000004
3115,2011,1,Bensín,45310.0,2029888.0,104666.1
3197,2011,1,Bensín,35323.0,1582470.4,81596.13
3265,2011,1,Bensín,39916.0,1788236.8,92205.96
3337,2012,1,Bensín,19758.0,885158.4,45640.98
3429,2012,1,Bensín,0.0,0.0,0.0
3521,2012,1,Bensín,43016.0,1927116.8,99366.96
3618,2012,1,Bensín,0.0,0.0,0.0
3710,2012,1,Bensín,36837.0,1650297.6,85093.47
3802,2012,1,Bensín,37230.0,1667904.0,86001.3
3892,2013,1,Bensín,17804.0,845690.0,41127.24
3911,2013,1,Bensín,41998.0,1826913.0,97015.38
3948,2013,1,Bensín,38265.0,1760190.0,88392.15000000001
3990,2013,1,Bensín,36874.0,1696204.0,85178.94
4024,2014,1,Bensín,17038.0,754783.4,39357.78
4120,2014,1,Bensín,0.0,0.0,0.0
4212,2014,1,Bensín,40711.0,1803497.3,94042.41
4304,2014,1,Bensín,36218.0,1666028.0,83663.58
4396,2014,1,Bensín,0.0,0.0,0.0
4490,2014,1,Bensín,38079.0,1751634.0,87962.49
4583,2015,1,Bensín,16491.0,730551.3,38094.21
4675,2015,1,Bensín,0.0,0.0,0.0
4770,2015,1,Bensín,0.0,0.0,0.0
4862,2015,1,Bensín,42800.0,1896040.0,98868.0
4954,2015,1,Bensín,35970.0,1593471.0,83090.7
5046,2015,1,Bensín,0.0,0.0,0.0
5139,2015,1,Bensín,37213.0,1648535.9,85962.03
5232,2016,1,Bensín,15966.0,707293.8,36881.46
5330,2016,1,Bensín,0.0,0.0,0.0
5422,2016,1,Bensín,0.0,0.0,0.0
5514,2016,1,Bensín,44190.0,1957617.0,102078.90000000001
5606,2016,1,Bensín,0.0,0.0,0.0
5698,2016,1,Bensín,37592.0,1665325.6,86837.52
5790,2016,1,Bensín,0.0,0.0,0.0
5883,2016,1,Bensín,38607.0,1710290.1,89182.17
5975,2016,1,Bensín,0.0,0.0,0.0
6066,2017,1,Bensín,13275.0,588082.5,30665.25
6071,2017,1,Bensín,10018.0,443797.4,23141.58
6084,2017,1,Bensín,42053.0,1862947.9,97142.43000000001
6121,2017,1,Bensín,33793.0,1497029.9,78061.83
6163,2017,1,Bensín,34621.0,1533710.3,79974.51
6191,2018,1,Bensín,13362.0,591936.6,30866.22
6199,2018,1,Bensín,14649.0,648364.74,33839.19
6214,2018,1,Bensín,37383.0,1656066.9,86354.73
6251,2018,1,Bensín,31371.0,1389735.3,72467.01
6289,2018,1,Bensín,30339.0,1344017.7,70083.09
6317,2019,1,Bensín,17269.0,765016.7,39891.39
6327,2019,1,Bensín,13303.0,589322.9,30729.93
6333,2019,1,Bensín,868.0,38452.4,2005.0800000000002
6339,2019,1,Bensín,33001.0,1461944.3,76232.31
6379,2019,1,Bensín,27976.0,1236539.2,64624.560000000005
6420,2019,1,Bensín,26327.0,1166286.1,60815.37
